"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10"
1.280,0.61,-1.03,-1.14,1.280,0.49,-1.06,0.85,1.280,0.31,-1.09,-0.07,1.280,0.40,-1.01,0.36,1.280,0.12,-0.54,14.14,1.280,1.33,-1.20,,1.280,0.29,-1.04,-0.62,1.280,0.16,-0.91,522.32,1.280,0.39,-1.04,1.08,1.280,1.30,-0.47,-88.63
1.300,0.58,-1.06,-0.32,1.300,0.47,-1.05,1.02,1.300,0.29,-1.09,0.06,1.300,0.38,-1.02,0.29,1.300,0.12,-0.20,9.86,1.300,1.31,-1.00,,1.300,0.26,-1.05,-0.21,1.300,0.15,13.67,493.68,1.300,0.37,-1.03,2.31,1.300,1.29,-0.59,-5.44
1.320,0.56,-1.04,0.50,1.320,0.45,-1.04,-1.98,1.320,0.27,-1.09,0.14,1.320,0.36,-1.01,0.29,1.320,0.12,-0.03,128.38,1.320,1.29,,,1.320,0.24,-1.05,0.00,1.320,0.11,28.54,256.84,1.320,0.35,-0.91,1.53,1.320,1.27,-0.72,-8.69
1.340,0.54,-1.01,0.39,1.340,0.43,-0.99,109.63,1.340,0.25,-1.08,0.37,1.340,0.34,-0.99,-0.07,1.340,0.12,-0.21,376.41,,,,,1.340,0.22,-1.05,0.15,1.340,1.87,28.97,-220.10,1.340,0.33,-0.89,-1.67,1.340,1.26,-0.81,-11.78
1.360,0.52,-1.01,-0.32,1.360,0.41,-1.35,298.61,1.360,0.22,-1.08,-1.16,1.360,0.32,-1.00,-0.73,1.360,0.12,14.87,503.95,,,,,1.360,0.20,-1.05,0.61,1.360,1.87,14.61,-495.63,1.360,0.33,-1.00,-2.70,1.360,1.24,-1.29,-10.96
1.380,0.50,-1.03,-0.66,1.380,0.39,12.42,335.47,1.380,0.20,-1.05,158.75,1.380,0.30,-1.04,-0.93,1.380,0.10,30.06,271.40,,,,,1.380,0.18,-1.03,2.61,1.380,1.87,1.18,-463.42,1.380,0.29,-1.14,0.52,1.380,1.22,-1.43,-5.26
1.400,0.48,-1.05,-0.12,1.400,0.32,21.38,68.86,1.400,0.18,-1.26,327.05,1.400,0.28,-1.06,-0.26,1.400,1.93,30.17,-279.49,,,,,1.400,0.16,-0.99,7.03,1.400,1.86,-3.16,-292.29,1.400,0.27,-0.98,2.33,1.400,1.15,-1.41,1.47
1.420,0.46,-1.05,0.86,1.420,2.00,16.53,-307.50,1.420,0.16,18.14,179.13,1.420,0.26,-1.05,0.48,1.420,1.92,17.06,-594.30,,,,,1.420,0.14,-0.79,12.11,1.420,2.01,-8.87,-122.82,1.420,0.25,-0.85,-0.69,1.420,1.17,-1.32,2.57
1.440,0.44,-1.01,1.26,1.440,1.36,2.80,-367.60,1.440,0.11,18.97,-300.59,1.440,0.24,-1.02,0.70,1.440,1.92,-5.66,-494.77,,,,,1.440,0.12,-0.44,12.69,1.440,1.34,-10.41,43.79,1.440,0.25,-1.01,-4.34,1.440,1.12,-1.23,2.75
1.460,0.42,-0.97,0.51,1.460,1.33,-5.90,-164.15,1.460,2.45,0.22,-516.96,1.460,0.22,-1.02,0.50,1.460,2.16,-5.42,-221.71,,,,,1.460,0.12,-0.12,128.45,1.460,1.32,-6.31,143.73,1.460,0.21,-1.19,-1.81,1.460,1.10,-1.31,2.72
1.480,0.40,-0.98,-0.74,1.480,1.32,-0.30,26.41,1.480,0.17,-19.40,31.36,1.480,0.20,-1.01,0.75,1.480,1.02,-6.73,-54.75,,,,,1.480,0.12,-0.13,364.92,1.480,1.30,-0.47,102.10,1.480,0.19,-1.16,4.25,1.480,1.08,-1.10,2.60
1.500,0.38,-1.02,-1.19,1.500,1.33,-0.07,40.04,1.500,0.13,-5.52,639.06,1.500,0.18,-1.00,3.01,1.500,2.18,-8.49,-60.70,,,,,1.500,0.12,14.31,485.78,1.500,1.29,-1.56,7.42,1.500,0.17,-0.92,9.07,1.500,1.05,-1.13,
1.520,0.36,-1.05,-0.57,1.520,1.33,0.13,-37.70,1.520,0.10,28.47,586.85,1.520,0.16,-0.94,5.48,1.520,1.09,-9.17,30.25,,,,,1.520,0.11,28.91,247.21,1.520,1.32,-2.90,-22.05,1.520,0.15,-0.77,11.33,1.520,1.03,-1.10,
1.540,0.34,-1.04,0.20,1.540,1.32,-1.53,-58.42,1.540,1.85,29.03,-90.48,1.540,0.14,-0.72,200.22,1.540,1.06,-10.26,127.09,,,,,1.540,1.86,29.13,-237.06,1.540,1.12,-2.99,27.80,1.540,0.14,-0.49,9.55,1.540,1.01,,
1.560,0.32,-1.03,0.72,1.560,1.35,-3.36,-34.65,1.560,1.86,16.47,-619.21,1.560,0.12,-0.64,507.69,1.560,1.03,-1.32,145.70,,,,,1.560,1.86,14.72,-483.58,1.560,1.13,-1.69,59.49,1.560,0.13,-0.23,125.62,,,,
1.580,0.30,-1.02,0.74,1.580,1.13,-3.58,23.36,1.580,1.85,-4.38,-601.33,1.580,0.12,22.72,601.77,1.580,1.01,-1.08,79.91,,,,,1.580,1.87,0.06,-366.66,1.580,1.12,0.57,49.32,1.580,0.13,-0.31,363.20,,,,
1.600,0.28,-0.99,0.19,1.600,1.12,-1.98,56.34,1.600,2.08,-12.43,-286.56,1.600,0.09,36.55,276.83,1.600,0.99,-0.86,-0.96,,,,,1.600,1.86,-0.05,-124.50,1.600,1.11,0.69,13.84,1.600,0.13,14.13,485.48,,,,
1.620,0.26,-0.99,-0.70,1.620,1.12,-0.11,45.35,1.620,1.11,-14.23,72.63,1.620,2.89,34.31,-307.90,1.620,0.97,-1.13,-5.01,,,,,1.620,1.86,-0.10,-0.84,1.620,1.21,0.55,-15.70,1.620,0.10,28.74,247.43,,,,
1.640,0.24,-1.03,-1.08,1.640,1.12,-0.07,16.87,1.640,1.11,-8.06,221.71,1.640,1.74,20.99,-620.48,1.640,0.96,-1.39,-0.43,,,,,1.640,1.86,-0.06,3.14,1.640,1.13,-0.02,-21.11,1.640,1.86,28.98,-236.87,,,,
1.660,0.22,-1.06,-0.32,1.660,1.12,-0.05,1.35,1.660,1.11,-0.03,185.33,1.660,2.59,1.33,-626.00,1.660,0.90,-1.16,5.94,,,,,1.660,1.86,-0.03,9.14,1.660,1.18,-0.61,-19.50,1.660,1.85,14.53,-482.02,,,,
1.680,0.20,-1.05,1.12,1.680,1.12,-0.02,-0.01,1.680,1.11,-0.03,66.95,1.680,2.91,-4.92,-384.76,1.680,0.90,-0.89,4.46,,,,,1.680,1.86,0.25,29.37,1.680,1.14,-0.68,-12.50,1.680,1.85,-0.09,-363.80,,,,
1.700,0.18,-1.01,3.72,1.700,1.12,2.39E-4,-4.99,1.700,1.11,-0.03,-0.15,1.700,1.88,-14.90,-46.50,1.700,0.90,-0.92,0.64,,,,,1.700,1.86,0.68,-12.53,1.700,1.12,-1.12,,1.700,1.85,-0.04,-119.89,,,,
1.720,0.16,-0.94,7.89,1.720,1.12,-0.11,-13.53,1.720,1.11,-0.03,0.12,1.720,1.86,-8.96,163.12,1.720,0.86,-1.09,2.57,,,,,1.720,1.89,2.75,-204.09,1.720,1.10,-1.01,,1.720,1.85,-0.11,7.13,,,,
1.740,0.14,-0.72,11.93,1.740,1.12,-0.55,-22.29,1.740,1.11,-0.05,1.81,1.740,1.85,-0.22,198.32,1.740,0.83,-0.87,3.94,,,,,1.740,1.91,-4.03,,1.740,1.08,,,1.740,1.85,0.17,9.57,,,,
1.760,0.12,-0.39,12.58,1.760,1.10,-1.09,-27.50,1.760,1.11,0.00,,1.760,1.86,-0.03,75.87,1.760,0.83,-0.62,,,,,,1.760,2.14,-19.52,,,,,,1.760,1.84,0.56,12.64,,,,
1.780,0.12,-0.13,9.15,1.780,1.06,-1.70,-27.20,1.780,1.11,0.16,,1.780,1.86,-0.03,16.78,1.780,0.82,-0.92,,,,,,1.780,1.12,,,,,,,1.780,1.88,0.44,-33.44,,,,
1.800,0.12,-0.02,5.27,1.800,1.04,-2.27,-21.00,1.800,1.11,,,1.800,1.86,-0.04,-18.91,1.800,0.80,,,,,,,,,,,,,,,1.800,1.89,1.13,-74.76,,,,
1.820,0.12,0.01,3.77,1.820,0.98,-2.64,-10.25,,,,,1.820,1.85,1.81,-129.53,,,,,,,,,,,,,,,,,1.820,1.85,-4.42,-95.11,,,,
1.840,0.12,0.10,2.17,1.840,0.92,-2.67,-1.57,,,,,1.840,1.86,-4.14,-223.12,,,,,,,,,,,,,,,,,1.840,2.00,-3.55,-48.80,,,,
1.860,0.12,0.20,171.06,1.860,0.87,-2.52,,,,,,1.860,2.07,-11.48,-99.18,,,,,,,,,,,,,,,,,1.860,1.24,-6.29,0.38,,,,
1.880,0.13,0.05,340.78,1.880,0.83,-2.57,,,,,,1.880,1.14,-13.53,,,,,,,,,,,,,,,,,,1.880,2.08,-2.85,,,,,
1.900,0.14,20.59,170.07,1.900,0.76,,,,,,,1.900,1.19,-0.70,,,,,,,,,,,,,,,,,,1.900,1.02,-5.07,,,,,
1.920,0.12,20.60,-343.26,,,,,,,,,1.920,1.11,,,,,,,,,,,,,,,,,,,1.920,1.87,,,,,,
1.940,2.61,0.05,-687.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.960,0.13,-20.60,-346.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.980,0.13,-20.72,291.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.000,0.13,-0.23,712.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.020,0.13,14.62,669.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.040,0.10,29.61,297.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.060,1.91,29.78,-276.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.080,1.90,20.36,-819.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.100,1.90,-9.30,-834.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.120,2.55,-29.61,-186.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.140,0.14,-20.43,691.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.160,0.11,9.09,755.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.180,1.89,34.93,-101.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.200,1.89,5.74,-899.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.220,2.55,-29.20,-795.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.240,0.14,-34.68,28.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.260,0.14,-20.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.280,0.14,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.300,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
