"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10"
0.320,1.44,-0.39,-2.95,0.320,1.12,1.20E-4,-1.44,0.320,1.14,-0.44,11.55,0.320,1.13,0.30,1.88,0.320,1.02,-0.95,0.79,0.320,0.79,-0.92,-0.89,0.320,1.09,-0.09,-1.78,0.320,0.95,-0.64,1.86,0.320,1.08,-0.32,12.43,0.320,0.87,-0.76,-0.15
0.340,1.42,-0.47,-16.17,0.340,1.12,-0.03,-1.19,0.340,1.14,-0.15,16.17,0.340,1.12,0.37,-6.75,0.340,1.02,-0.75,1.89,0.340,0.77,-0.95,-0.84,0.340,1.09,-0.23,-4.21,0.340,0.94,-0.55,0.19,0.340,1.08,0.13,14.42,0.340,0.86,-0.69,0.52
0.360,1.40,-0.23,-50.09,0.360,1.12,-0.06,-0.44,0.360,1.14,0.48,11.69,0.360,1.15,-0.02,-13.93,0.360,0.99,-0.78,0.37,0.360,0.75,-0.96,-0.55,0.360,1.06,-0.40,-3.04,0.360,0.92,-0.56,-2.67,0.360,1.07,0.60,1.91,0.360,0.84,-0.67,-0.82
0.380,1.40,-2.23,-73.54,0.380,1.11,-0.05,0.49,0.380,1.15,0.48,2.70,0.380,1.14,-0.41,-10.43,0.380,0.98,-0.85,-0.97,0.380,0.73,-0.97,-0.12,0.380,1.07,-0.29,2.83,0.380,0.92,-0.71,-4.13,0.380,1.12,0.42,-19.88,0.380,0.84,-0.74,-2.51
0.400,1.43,-4.64,-43.43,0.400,1.11,-0.03,1.14,0.400,1.19,0.33,-5.70,0.400,1.11,-0.59,-0.62,0.400,0.97,-0.81,-0.22,0.400,0.72,-0.96,0.15,0.400,1.06,-0.39,6.88,0.400,0.90,-0.80,-2.12,0.400,1.11,-0.38,-30.34,0.400,0.82,-0.82,-1.56
0.420,1.12,-4.89,45.65,0.420,1.11,0.00,1.51,0.420,1.14,0.31,-14.89,0.420,1.12,-0.31,4.08,0.420,0.95,-0.84,0.52,0.420,0.70,-0.96,0.35,0.420,1.06,0.10,0.13,0.420,0.88,-0.80,0.26,0.420,1.08,-1.27,-15.48,0.420,0.80,-0.85,1.00
0.440,1.12,-2.79,117.15,0.440,1.11,0.03,1.72,0.440,1.18,-0.05,-25.97,0.440,1.11,-0.20,1.13,0.440,0.93,-0.82,0.63,0.440,0.68,-0.95,0.37,0.440,1.03,0.03,-15.23,0.440,0.87,-0.72,0.24,0.440,1.06,-1.35,13.90,0.440,0.78,-0.75,1.95
0.460,1.12,1.39,116.64,0.460,1.11,0.07,1.34,0.460,1.20,-0.93,-16.15,0.460,1.11,-0.32,-4.68,0.460,0.92,-0.78,0.48,0.460,0.66,-0.94,0.13,0.460,1.12,-0.70,-25.13,0.460,0.85,-0.76,-0.64,0.460,1.02,-0.47,31.86,0.460,0.77,-0.69,-0.17
0.480,1.10,3.14,50.60,0.480,1.12,0.11,0.47,0.480,1.13,-1.54,9.82,0.480,1.10,-0.45,-6.56,0.480,0.90,-0.79,-0.26,0.480,0.64,-0.94,-0.34,0.480,1.01,-1.42,-12.50,0.480,0.84,-0.82,-0.39,0.480,1.01,0.48,22.32,0.480,0.76,-0.74,-3.25
0.500,1.32,3.18,-28.16,0.500,1.12,0.08,0.27,0.500,1.08,-0.13,14.89,0.500,1.09,-0.62,-5.11,0.500,0.88,-0.81,-0.71,0.500,0.62,-0.95,-0.72,0.500,1.00,-1.46,5.61,0.500,0.82,-0.78,0.42,0.500,1.07,0.72,-2.93,0.500,0.74,-0.87,-3.82
